Time to sort for plates: 105 ms.
Time to sort for names: 28799 ms.
Total time: 28904 ms.

License Plate       ID                  Last Name           First Name          Middle Name         ID                  
A100EO              7353                Zzygs               Rsbsy               Yfwknxzo            6504                
A104TI              6107                Zzya                Ecqwlswttkx         Xlrfqw              3493                
A106XZ              5384                Zzxhfrigquuhk       Xfhugiyl            Ykpflahqlcsilew     6309                
A108OI              1869                Zzvwk               Iplxdajqaseavfr     Ghf                 2783                
A112JG              3673                Zztydpkj            Jgbxjo              Rkzmuizki           1879                
A115GT              1803                Zzqynp              Xbfonebutx          Djzoel              8663                
A116FK              9305                Zzqgkyyb            Lkg                 Arrdsen             289                 
A117HV              6597                Zzqt                Frzsnmffulhzx       Rdb                 5780                
A129EU              9444                Zzmflug             Dbelop              Zbjoedmtrfuoso      7047                
A130NK              2172                Zzljrplmwtnh        Lhpxv               Rkxmssmypprt        4510                
A132KD              5155                Zzlilcmdmit         Guyxkadlofks        Rrujwgsexfash       3804                
A133FH              5554                Zzkbd               Aecxjdxugnh         Xewissqbcc          5196                
A136FF              8492                Zzhuudinjpliwpk     Ovzeqy              Gddxgxbswivbxdj     1738                
A138LV              4457                Zzabwutvwufx        Ncx                 Sxrabkybcrrosuk     942                 
A138OK              7566                Zyyrkhcei           Tuykwnxqnhwzw       Ofdwmy              2872                
A138RG              1284                Zyqrljtx            Adpapyuwzkmuiw      Axpodqp             6807                
A142PN              1471                Zyoxlpf             Rtitt               Vtswgkr             8283                
A145GB              3964                Zylaitavrigjlb      Wtmhwknlemnda       Flqjpzb             9968                
A145NA              6496                Zyi                 Ajmxqabgzmr         Tpkngvo             5320                
A152VG              6218                Zyhfm               Gmoetyxdponlj       Zrkcaawajtzm        1772                
A153IA              8980                Zyhmuxa             Esgmjhnbejkpu       Ufqcoerduzc         6531                
A158HZ              2782                Zyeaglqoab          Xxjhbnzekhcvtgd     Kcxqqmpcszxc        2165                
A162EZ              6795                Zyamhjrtvw          Wmtkuvte            Tira                2385                
A166SW              7059                Zyaeyw              Wlnenlvrxvpj        Ndthzbhzahc         2791                
A167LF              8291                Zyalpvjp            Kwyrryfvezd         Twcdbbexjj          7481                
A168VK              9706                Zxywtaoed           Qfzgclmulyrsl       Mksl                8861                
A170QO              3792                Zxyvnl              Efj                 Mqwieufg            2043                
A172RJ              902                 Zxrlybgit           Oopb                Wrkiqshotqjqbj      8490                
A173OB              1009                Zxr                 Dwcltklavho         Nxntleaay           3721                
A177IH              6286                Zxqgqz              Ecpeup              Wizffxm             3592                
A177PV              5584                Zxpsdktijm          Pxxmb               Duf                 5116                
A178HR              9053                Zxorqczw            Pgopdrcnsxameub     Lie                 2271                
A180RG              3911                Zxocvwazric         Heoaewfz            Heeshpmh            5650                
A182EO              4049                Zxnpxfxlry          Tdi                 Fpyzpfptrgrdy       2082                
A191MK              5980                Zxnptwhmabnl        Ovo                 Jyrmbs              4335                
A193LB              6235                Zxnubvowekugt       Ombfv               Hfzwhfxtqdp         1233                
A195BD              7515                Zxnpdugfmwqxpb      Fkbjm               Stnjnlcpldsriqy     1210                
A195HK              7110                Zxmtltoaajm         Jwrurpwvkpt         Ambhlerujslqfey     3558                
A195XV              8731                Zxmxpnidno          Akfqxjr             Fyi                 141                 
A201NT              7882                Zxjienvafoygmm      Anjsbbxgdfuyvrr     Mdtjcjds            809                 
A203QW              1691                Zxfmmbgg            Hpsmpgbx            Sujxvvk             8026                
A214XT              9230                Zxdmipycgs          Uhaemm              Rqhddfwqsxk         6708                
A217DC              4738                Zxcg                Bvqxuc              Ykibk               8879                
A217LM              7212                Zwzn                Xcuahx              Jrqktbwy            4948                
A217SL              9051                Zwymas              Krpfgtfftgr         Xeozyhnrlsmw        7407                
A217WY              4634                Zwyrbwvpdsbhg       Iqudmufovrz         Iuulfnazczipxq      5751                
A228VW              4710                Zwwjrhg             Esvagj              Cza                 9143                
A229GT              8943                Zwujk               Bhx                 Ijx                 5283                
A229KS              3851                Zwtfywygyfl         Dqc                 Ymlpt               1352                
A231JW              1720                Zwsufrb             Suibpfg             Bbihhj              8260                
A234RY              4967                Zwsenpbhf           Kaggmt              Xsazyvqb            1188                
A242MA              6573                Zwnkhjkzmygvkj      Weiwatwfodxra       Iysloz              5268                
A252PD              6358                Zwlpk               Sfjr                Sddaxyepcdtv        1577                
A254TY              1557                Zwlshpmov           Qybczswerymx        Hvt                 1208                
A255WT              896                 Zwivcjacnbnkn       Fvizizvzmkjxl       Fkwtrvqkowskye      7182                
A260BS              3752                Zwgoquddh           Yngttwacc           Fvhkssv             8057                
A260HX              8278                Zwgen               Rzphnv              Raraahtuo           3355                
A261DI              7753                Zwdkzma             Yga                 Csifdrmd            1960                
A266QN              8267                Zwcztotuakc         Vzmlnqip            Vypn                9747                
A267FH              9560                Zwaquakheqvwdgb     Vwv                 Isvbesebvi          140                 
A272OW              5004                Zvweqwqwy           Pjxa                Eghdmz              7993                
A275SC              1203                Zvtcu               Zoedzdwwjtlkcsc     Ktqevyfluyte        3048                
A279OV              6230                Zvsqwrowbsdy        Mpfmgbuwntzgmc      Ikwknieyb           1247                
A279SW              3057                Zvqcnronryj         Svhygqkgubeoqan     Rzydqpftbczv        7256                
A281ZC              9850                Zvqtwdglocsf        Naeclzjs            Hqreggsnadgg        5922                
A286HA              3346                Zvmvuuxuhfj         Qoabueetfxwi        Ymdmuxefasohy       2138                
A290RX              9343                Zvm                 Onlnmvsjseoa        Uaibv               721                 
A291XC              5357                Zvlvlsg             Kdwtnstc            Zjhlreunuoq         7208                
A292KG              2986                Zvhsw               Ccp                 Rvwgl               217                 
A293QT              7929                Zvewt               Ulnsscugamkdwkl     Steawrerpmwsxy      9859                
A296DG              5578                Zvduqjutor          Lnhknhkklizgfis     Peey                7767                
A299EH              4589                Zvdipgxpy           Gpzsmsuisjgn        Yvoxayc             4123                
A301JV              9896                Zvdeqoe             Gcneusnsi           Fbgrntqvuvncm       1257                
A303WX              6488                Zvcurhkcyqhjoh      Uqwxexgcxkmtgf      Ddnaumrs            5244                
A309BT              8137                Zvch                Cqrgire             Rwng                2227                
A309DG              4734                Zvczymgtbhgxlw      Acgyufkllgest       Crohbshmnf          1511                
A311FR              620                 Zvbyxjvcdnuyf       Pzfoawogpri         Qlfjuwwdtfolbap     6821                
