Total time: 3 ms.

Is sort stable? no

License Plate       Last Name           First Name          Middle Name         ID                  
A115YB              Ibzbjegc            Kpyx                Ljwyju              997                 
A180FC              Pwwuqvfpe           Edxwiakrz           Zough               84                  
A196DG              Iqclvfai            Tkxtsecxrqjpn       Cjax                947                 
A201DA              Qwscmoyx            Udq                 Ccjigjqthe          489                 
A225NE              Acdnejjgklen        Llyhkm              Zosatau             671                 
A229OC              Gqhvxuan            Msbwc               Xoo                 405                 
A308TR              Uqnlkbetim          Wpcnz               Qtqqgbdablh         133                 
A308YR              Wiwfszhzmmwdg       Sqdtgqzyrwghloj     Qoauzceeo           316                 
A321YW              Bzfvmqvglrsrlu      Ccxvdexweqyww       Lsrxfdeyydvh        623                 
A324MW              Nlisiuuofhvma       Zjdyv               Jotjwmlz            450                 
A343YD              Dldxjblsfyd         Niotjahzketf        Nhd                 283                 
A368AZ              Qwaizixccwmx        Psfgcrqpabtsv       Qhbtuwrfsgpmopd     154                 
A368JX              Yjngqqctcfosinx     Ahxtxzv             Cutbfg              856                 
A406WA              Vlecwtdrxvrrp       Nriwcicpgf          Etoakai             266                 
A411ME              Zhhavziepkuxm       Bjf                 Pkl                 352                 
A420VJ              Amzxuifykwoid       Efzshxrlcne         Memji               278                 
A426IZ              Pttnsjvxbzlo        Flgaig              Pgxctuyqm           355                 
A434PY              Arslrkofn           Oxzyiiobsem         Jzndnnjcvxqfwu      632                 
A436JO              Sauwpgzig           Iyotpkej            Xxcbqdmll           817                 
A542KJ              Ocxmge              Sjmwb               Areeq               764                 
A554TD              Biaeqyyoqpk         Vuvmptka            Ohyqi               583                 
A587KO              Ldpddw              Dfwbuwkweuepu       Xqkaozqghzxt        691                 
A605YM              Tixkbwdmkoils       Uvcbpkql            Oozssp              794                 
A638MI              Ilkmkdydirub        Rraapxzh            Gmtyoixl            186                 
A662EM              Adcs                Fbt                 Jkldagrrvttgtzy     549                 
A671MB              Knvyiby             Xuvdmlpjqtg         Viwzbvmg            272                 
A676VQ              Gtprhp              Jli                 Oalhddq             906                 
A703MY              Hbomdhdcjgcg        Kvdwy               Unbdgiqrhpxznjh     551                 
A706QW              Bxqkwwrczxfk        Mvpkpzsetpyihln     Ksjzf               866                 
A709UD              Weehcawlprdxr       Derpyn              Xdqvlrdgxubvo       546                 
A726NS              Vnmdwlktheanvn      Ovwq                Hkewl               261                 
A763KT              Rotkbiozjm          Yem                 Myqe                37                  
A814IW              Xjn                 Fsfihhvcwozpj       Esmlkwiumxyimzl     267                 
A857HV              Vja                 Hcisvnuxthrbknj     Wdtare              864                 
A865RX              Mdlismcdvexxcyb     Kvcovxyhttfi        Ilic                679                 
A884DL              Hsyum               Sijvfrumdegm        Bedxtx              791                 
A899CS              Qmckbqtbfbn         Yjybx               Mdkouzmf            156                 
A901BL              Wxn                 Drgqjony            Pafw                870                 
A904WA              Toybdhvxdb          Bbeeakmwmikfegz     Hawgnge             886                 
A915UM              Vmvxkfshidmltq      Fjjxxocjwznp        Wjdaeq              991                 
A920GF              Flx                 Bxtscvsfvw          Hynwsrifo           194                 
A930BV              Akxpnjzgso          Mehhheucwy          Mrxhakmdeqrcm       697                 
A934OT              Ayizdflqssx         Xydzlmmovzdfezo     Ukvnrysdzxcqu       219                 
A940DZ              Guazszdft           Ibrtse              Ffkrqdwyorbth       759                 
A956XZ              Khivskpr            Wezsjzbto           Nfnaizyvfgnd        596                 
A993NZ              Jsn                 Evcuphfkhv          Mzajgdioitv         698                 
B124SP              Flispvozq           Eyhhxiaiv           Dcpbnsfuitljmd      235                 
B134DX              Juebwfp             Hgbdjziopjjrw       Lkhldhbmlwezt       780                 
B140ZU              Fkdytuexxyvsr       Vnnvppx             Dfrcavq             865                 
B146EL              Ywuqzgfatjlrp       Vxwoknjhstbajme     Lvqbdnolkrc         819                 
B160OW              Ubnudulmu           Dtod                Qioc                715                 
B162GE              Qjzqvozq            Vtuftwopn           Upka                299                 
B169TJ              Lxugomcbuc          Vmrs                Vwnwnipxxzigyv      427                 
B179LU              Mkvjjtieocw         Wzuowbyiexesglp     Bwwywazqxtx         809                 
B185NH              Iejnxj              Loibttyn            Vrmh                418                 
B190OT              Ssnhetcpdcpc        Upnivobegzdpc       Ppfkn               542                 
B273VN              Nvwwctophwwx        Nxvcq               Mhstynmt            983                 
B281AX              Pwzsivsgwjil        Ygtfupyya           Urhwceghjqwepds     932                 
B316JO              Dnnsgasuthspee      Cpporqz             Nrouekhmkhkes       851                 
B331OM              Obu                 Oanhnyomiw          Kyka                345                 
B383EC              Ult                 Qpunza              Ngdsanxea           636                 
B393UW              Fmzbwj              Neueholwgcgpx       Zmokfxmyvozu        346                 
B416RA              Mbshs               Sborxxdd            Ranqg               914                 
B428LJ              Mdmzlmzrxuaae       Lmsrsnhhk           Axvlzscbn           43                  
B428XE              Lopzbwy             Nnrexfr             Muhiqbjhja          849                 
B433IJ              Wedazmmetnywe       Vtlxmlibeb          Kbj                 443                 
B436PV              Bjli                Urpbkc              Sgptfjmqo           655                 
B438AM              Gpebctxpqk          Zsvtanmo            Jryaldsxmlrzyy      989                 
B512JD              Jsexhppnbk          Qby                 Xpgnansu            784                 
B524KB              Eqrh                Yigzcbogl           Vuowspcorjztvs      468                 
B527SJ              Rztzkdtya           Lvci                Ckfujupuar          151                 
B550XY              Qtsevfkaiufobu      Fxiruiaacowd        Dfjuldpgd           38                  
B563ZP              Bpoxcncmphhhocw     Pzjtkacd            Waaardmwuziowmb     514                 
B593PH              Oyycjrtkqhfyak      Loylfpwo            Fci                 592                 
B606OC              Rozamityblnh        Pxtkptjvifjab       Jvdzmqxizfq         324                 
B651NU              Sxupcceqrkjf        Hhdtgsx             Jxbsbli             677                 
B717ET              Lai                 Lhzkdqbp            Vczbjihqp           446                 
B717JE              Pjowp               Mpstrd              Qhkmixu             313                 
B733KM              Dgcfsbjvck          Xxrudfagbjq         Vekymtkigehjjwx     570                 
B784SZ              Mrchkxegxwmjuf      Wnwzboz             Irjvbhhldves        828                 
B786YC              Itdqkyhisltw        Oikmfxxewqdn        Aapzrsnhyvbc        35                  
B790NS              Npmofifzyvfx        Izeygvhyh           Idsxkwpldg          553                 
B791AT              Gdsylsu             Bfgqpwtvmiqbow      Stlajotqqaekiey     957                 
B813GR              Riihmnyfrbpic       Hqaycdaeugxl        Fkxwsuhzxoo         67                  
B824QV              Vtiqdt              Coxqsslfciji        Gnxpabpqrrnyuhe     638                 
B836WP              Horwzqwdqr          Ezyjyldbhgm         Xkxglvz             279                 
B853YW              Iedmovpkofsyv       Bxww                Mspgjdwoldqck       684                 
B887IJ              Cdhxrgp             Awynbtk             Uph                 180                 
B915FF              Zarujrjppjaleav     Yijji               Jlblx               314                 
B947UJ              Eixocufimla         Ejnuqrwhtovind      Snpzdcjhiutaaj      692                 
B955FB              Ohtw                Ehzglzseut          Pvb                 113                 
B963ND              Jbiszozkbeqxl       Zkidxesqnrzray      Vnfedwzmruepa       768                 
C109BH              Xqtosrz             Addpw               Eepkszxikyi         297                 
C110RJ              Auilvfttjfrqs       Tvzgvcvubqujmpm     Bjki                141                 
C126XZ              Hlldpun             Wnagkksoyyl         Ellesxu             288                 
C127HG              Dqyfy               Khasrtpjjrkvuzg     Kifeujbz            85                  
C184TH              Dsrdpcdktnslvg      Riombndbq           Erx                 188                 
C194SY              Yomx                Gwhirfxurxy         Qbl                 644                 
C326WB              Gsppimfmvjwcnd      Bfiwcokfbmquwup     Fahipo              899                 
C333XV              Issbxdksmer         Npjtu               Szhyiz              322                 
C377HU              Mqotowalkqyvu       Besmwnrjx           Jlti                88                  
C385VW              Uoduhxcrxeb         Vbdok               Tro                 102                 
C477VD              Eavboshsbv          Zkwonmchreltmhm     Qibrapjqnl          940                 
C547MM              Tpthfegkkclxtk      Amzazftfu           Fxah                432                 
C548CW              Gmjroclpnfzchuk     Vlotcrp             Ibjrhstnrmavtku     705                 
C569EV              Havwtjmalwjzq       Aipxpbjyewurep      Vitqxebqsrj         242                 
C609VR              Jdhbhlmqpofiojc     Avybuutjcj          Ctiy                946                 
C713FQ              Ubskikn             Adn                 Cvslqnoxcvdl        573                 
C723XZ              Ywxvonbj            Lnwskmi             Digvmbakkfxpuw      545                 
C742MS              Zbqncda             Tbox                Tpbs                40                  
C780RF              Udsldzsli           Dtiiw               Nqvyktcpcdq         253                 
C797GH              Wevqou              Scwhvtt             Ithtyqvytiyd        678                 
C801XC              Ydvacgmkmb          Ijkrwzrgrxcr        Tgelqdkwotgx        601                 
C824UJ              Acg                 Ityfhzc             Wji                 176                 
C838OZ              Bkb                 Djwmziq             Hvvwllc             123                 
C840WO              Qzoq                Ynlgstczsmbhexn     Eookksqr            265                 
C841SU              Dtnbftqstqrk        Ciasguvyrstj        Vzfjmezrznnnqix     159                 
C852CC              Ypig                Revoadquixl         Iiarikpjztqrcq      17                  
C873WG              Aifpqp              Konwftegqizhasv     Luetqhekscyv        816                 
C887UF              Bgctewxceunmud      Wpzf                Clrghqzr            664                 
C941GC              Rxxrdaten           Oiqrf               Kznrhyxmwp          557                 
C961GE              Pnoy                Ctpggtojukcv        Xcrvmwhsr           652                 
C984VV              Vzxrvcq             Nts                 Yowznjly            291                 
C996KH              Tbmjqm              Nnvadofrmjvlf       Ucj                 803                 
